GA_loop.thisRepN,GA_loop.thisTrialN,GA_loop.thisN,GA_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,contrast.routineEndVal,aperture.started,aperture.stopped,position.routineEndVal,placeholder.started,placeholder.stopped,participant,session,stimulus size,spatial freq,start contrast,step contrast,end contrast,stimulus duration,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,1.0,15.635967299996992,16.6490172999911,"(-16, 8)",16.6490172999911,,789043,001,8.5,0.8,1,-0.2,0.2,1,2023-03-14_21h49.11.934,iva,2022.2.5,143.9872369713523,
0,0,0,0,1,0,1,0,,17.66412269999273,18.662868699990213,"(-16, 8)",18.662868699990213,19.680056199998944,789043,001,8.5,0.8,1,-0.2,0.2,1,2023-03-14_21h49.11.934,iva,2022.2.5,143.9872369713523,
0,0,0,0,2,0,2,0,,19.680056199998944,20.683058199996594,"(16, 8)",20.683058199996594,21.69871769999736,789043,001,8.5,0.8,1,-0.2,0.2,1,2023-03-14_21h49.11.934,iva,2022.2.5,143.9872369713523,
0,0,0,0,3,0,3,0,,21.69871769999736,22.696968299991568,"(-16, -8)",22.696968299991568,23.717009999993024,789043,001,8.5,0.8,1,-0.2,0.2,1,2023-03-14_21h49.11.934,iva,2022.2.5,143.9872369713523,
,,,,,,,,0.8,23.717009999993024,,,,,,,,,,,,,,,,,
