3.1199 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
9.7062 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000022061438070>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000022064FBEFD0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=8, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.7063 	EXP 	window1: mouseVisible = True
9.7065 	EXP 	window1: mouseVisible = False
9.7065 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
9.7065 	EXP 	window1: recordFrameIntervals = False
9.7746 	EXP 	window1: recordFrameIntervals = True
9.8516 	EXP 	Screen (0) actual frame rate measured at 143.83Hz
9.8517 	EXP 	window1: recordFrameIntervals = False
13.6626 	EXP 	Created GA = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, interpolate=True, mask=None, maskParams=None, name='GA', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([1., 1.]), size=array([32., 64.]), tex='sqr', texRes=512.0, units='deg', win=Window(...))
13.6668 	EXP 	Created aperture = Aperture(__class__=<class 'psychopy.visual.aperture.Aperture'>, anchor=('center', 'center'), autoLog=True, inverted=False, nVert=UNKNOWN, name='aperture', ori=0.0, pos=array([0., 0.]), shape=UNKNOWN, size=array([128.]), units='deg', win=Window(...))
13.8112 	EXP 	Created placeholder = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='placeholder', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Initial grating acuity\ntest', units='height', win=Window(...), wrapWidth=1)
13.8115 	EXP 	Created sequence: sequential, trialTypes=1, nReps=24, seed=None
13.8117 	EXP 	New trial (rep=0, index=0): None
13.8127 	EXP 	Created sequence: random, trialTypes=1, nReps=4, seed=None
13.8130 	EXP 	New trial (rep=0, index=0): None
13.8877 	EXP 	aperture: enabled = False
13.8877 	EXP 	GA: sf = array([0.8, 0.8])
13.8877 	EXP 	aperture: enabled = True
13.8877 	EXP 	GA: autoDraw = True
13.8877 	EXP 	aperture: enabled = True
13.8877 	EXP 	GA: tex = 'sqr'
14.9030 	EXP 	GA: autoDraw = False
14.9030 	EXP 	aperture: enabled = False
14.9030 	EXP 	GA: autoDraw = False
14.9030 	EXP 	aperture: autoDraw = False
14.9030 	EXP 	aperture: enabled = False
14.9030 	EXP 	placeholder: autoDraw = True
15.8860 	EXP 	New trial (rep=1, index=0): None
15.8968 	EXP 	placeholder: autoDraw = False
15.8968 	EXP 	GA: sf = array([0.8, 0.8])
15.8968 	EXP 	aperture: enabled = True
