GA_loop.thisRepN,GA_loop.thisTrialN,GA_loop.thisN,GA_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,spatial_freq.routineEndVal,aperture.started,aperture.stopped,position.routineEndVal,placeholder.started,placeholder.stopped,participant,session,stimulus size,start spatial freq,step spatial freq,end spatial freq,stimulus duration,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,0.8,19.593174299996463,20.60886279999977,"(16, 0)",20.60886279999977,,370050,001,8.5,0.8,1,25.6,1,2023-03-14_21h34.04.427,iva,2022.2.5,143.67114250305622,
0,0,0,0,1,0,1,0,,21.604837400009274,22.604900599995744,"(16, 0)",22.604900599995744,23.612017100007506,370050,001,8.5,0.8,1,25.6,1,2023-03-14_21h34.04.427,iva,2022.2.5,143.67114250305622,
0,0,0,0,2,0,2,0,,23.612017100007506,24.613583300000755,"(16, 0)",24.613583300000755,25.6184779000032,370050,001,8.5,0.8,1,25.6,1,2023-03-14_21h34.04.427,iva,2022.2.5,143.67114250305622,
0,0,0,0,3,0,3,0,,25.6184779000032,26.616755199996987,"(16, 0)",26.616755199996987,,370050,001,8.5,0.8,1,25.6,1,2023-03-14_21h34.04.427,iva,2022.2.5,143.67114250305622,
,,,,,,,,1.8,27.62538690000656,28.62104330000875,"(-16, 0)",28.62104330000875,,,,,,,,,,,,,
